	cusip	industry	name	sector	stocksymbol
2864	22410J106	Restaurants	CRACKER BARREL OLD CTRY STOR	Consumer Services	NASDAQ:CBRL
2865	224122101	Beverages (Production/Distribution)	CRAFT BREW ALLIANCE INC	Consumer Non-Durables	NASDAQ:BREW
2866	224399105	Metal Fabrications	CRANE CO	Capital Goods	NYSE:CR
2867	224633107	n/a	CRAWFORD & CO	n/a	NYSE:CRD.B
2868	224633206	n/a	CRAWFORD & CO	n/a	NYSE:CRD.A
2869	225223304	Computer Manufacturing	CRAY INC	Technology	NASDAQ:CRAY
2870	G2519Y108	Commercial Banks	CREDICORP LTD	Finance	NYSE:BAP
2871	2232878		CREDICORP LTD		
2872	225310101	Finance: Consumer Services	CREDIT ACCEP CORP MICH	Finance	NASDAQ:CACC
2873	225313105		CREDIT AGRICOLE SA-UNSP ADR		
2874	22544R107		CREDIT SUISSE		
2875	22539T456		CREDIT SUISSE AG NASSAU BRH		
2876	22539T597		CREDIT SUISSE AG NASSAU BRH		
2877	22539T324		CREDIT SUISSE AG NASSAU BRH		
2878	22539T563		CREDIT SUISSE AG NASSAU BRH		
2879	22539T316		CREDIT SUISSE AG NASSAU BRH		
2880	22539T100		CREDIT SUISSE AG NASSAU BRH		
2881	22539T290		CREDIT SUISSE AG NASSAU BRH		
2882	22539T332		CREDIT SUISSE AG NASSAU BRH		
2883	22539T621		CREDIT SUISSE AG NASSAU BRH		
2884	22539T423	Investment Bankers/Brokers/Service	CREDIT SUISSE AG NASSAU BRH	Finance	NASDAQ:TVIX
2885	22547T696		CREDIT SUISSE AG PFD		
2886	224916106		CREDIT SUISSE ASSET MGMT INC		
2887	22544R305		CREDIT SUISSE COMMODITY RETURN		
2888	H3698D419		CREDIT SUISSE GROUP		
2889	225401108	Investment Bankers/Brokers/Service	CREDIT SUISSE GROUP	Finance	NYSE:CS
2890	22544F103		CREDIT SUISSE HIGH YLD BND F		
2891	22542D878		CREDIT SUISSE NASSAU BRH		
2892	22542D449	Investment Bankers/Brokers/Service	CREDIT SUISSE NASSAU BRH	Finance	NASDAQ:SLVO
2893	22542D852		CREDIT SUISSE NASSAU BRH		
2894	22542D530		CREDIT SUISSE NASSAU BRH		
2895	22542D654	Investment Bankers/Brokers/Service	CREDIT SUISSE NASSAU BRH	Finance	NASDAQ:DSLV
2896	22542D480	Investment Bankers/Brokers/Service	CREDIT SUISSE NASSAU BRH	Finance	NASDAQ:GLDI
2897	22542D795	Investment Bankers/Brokers/Service	CREDIT SUISSE NASSAU BRH	Finance	NASDAQ:XIV
2898	22542D829		CREDIT SUISSE NASSAU BRH		
2899	22542D670	Investment Bankers/Brokers/Service	CREDIT SUISSE NASSAU BRH	Finance	NASDAQ:DGLD
2900	22542D423		CREDIT SUISSE NASSAU BRH		
2901	22542D688	Investment Bankers/Brokers/Service	CREDIT SUISSE NASSAU BRH	Finance	NASDAQ:UGLD
2902	22542D548		CREDIT SUISSE NASSAU BRH		
2903	22542D456		CREDIT SUISSE NASSAU BRH		
2904	22542D100		CREDIT SUISSE NASSAU BRH		
2905	B8DST5905		CREDITO REAL SOFOM ENR		
2906	225447101	Semiconductors	CREE INC	Technology	NASDAQ:CREE
2907	H27110716		CREF BOND MARKET R2		
2908	H27110772		CREF BOND MARKET R2		
2909	H27110762		CREF EQUITY INDEX R2		
2910	H27110713		CREF EQUITY INDEX R2		
2911	H27110768		CREF EQUITY INDEX R2		
2912	H27110767		CREF GLOBAL EQUITIES R2		
2913	H27110717		CREF INFLATION-LINKED BOND R2		
2914	H27110773		CREF INFLATION-LINKED BOND R2		
2915	H27110769		CREF SOCIAL CHOICE R2		
2916	H27110712		CREF SOCIAL CHOICE R2		
2917	H27110770		CREF STOCK R2		
2918	22576C10		CRESCENT POINT ENERGY CORP		
2919	22576C101	Oil & Gas Production	CRESCENT PT ENERGY CORP	Energy	NYSE:CPG
2920	G25480164		CRESTON PLC		
2921	226344208		CRESTWOOD EQUITY PARTNERS LP		
2922	226406106	Real Estate	CRESUD S A C I F Y A	Finance	NASDAQ:CRESY
2923	22640610		CRESUD S A C I F Y A		
2924	226552107		CREXENDO INC		
2925	12626F105		CRH MEDICAL CORP		
2926	12626K20		CRH PLC		
2927	12626K203	Building Materials	CRH PLC	Capital Goods	NYSE:CRH
2928	22662X100		CRIMSON WINE GROUP LTD		
2929	226718104	Advertising	CRITEO S A	Technology	NASDAQ:CRTO
2930	22671810		CRITEO S A		
2931	22675B103		CRITICAL OUTCOME TECH INC COM		
2932	227046109		CROCS INC		
2933	BYZWX76		CRODA INTL PLC ORD		
2934	G25536148		CRODA INTL PLC ORD F		
2935	227107109		CROMBIE REIT		
2936	227483104	Professional Services	CROSS CTRY HEALTHCARE INC	Technology	NASDAQ:CCRN
2937	22757R109	Oil & Gas Production	CROSS TIMBERS RTY TR	Energy	NYSE:CRT
2938	22758A105	Oil Refining/Marketing	CROSSAMERICA PARTNERS LP	Energy	NYSE:CAPL
2939	227656105		CROSSROADS CAP INC		
2940	22765D407		CROSSROADS SYSTEMS INC		
2941	228227104	Real Estate Investment Trusts	CROWN CASTLE INTL CORP	Consumer Services	NYSE:CCI
2942	22822V200		CROWN CASTLE INTL CORP NEW		
2943	22822V101		CROWN CASTLE INTL CORP NEW		
2944	228309100		CROWN CRAFTS INC		
2945	228368106	Containers/Packaging	CROWN HOLDINGS INC	Consumer Durables	NYSE:CCK
2946	22836810		CROWN HOLDINGS INC		
2947	228903100	Medical/Dental Instruments	CRYOLIFE INC	Health Care	NYSE:CRY
2948	22890310		CRYOLIFE INC		
2949	229050307	Containers/Packaging	CRYOPORT INC	Capital Goods	NASDAQ:CYRX
2950	22940F103		CRYSTAL ROCK HLDGS INC		
2951	12634910		CSG SYS INTL INC		
2952	126349109	EDP Services	CSG SYS INTL INC	Technology	NASDAQ:CSGS
2953	126349AE9		CSG SYSTEMS INTERNATIONAL INC		
2954	12637A103		CSI COMPRESSCO LP		
2955	12367A103		CSI COMPRESSCO LP		
2956	Q3018U109		CSL LIMITED		
2957	6185495		CSL LTD		
2958	618549548		CSL LTD		
2959	12637N204		CSL LTD SPONSORED ADR		
2960	12649L105		CSOP ETF TR		
2961	12649L204		CSOP ETF TR		
2962	12649L303		CSOP ETF TR		
2963	126389105	EDP Services	CSP INC	Technology	NASDAQ:CSPI
2964	12591J108		CSPC PHARMACEUTICL GROUP LTD		
2965	12650T104		CSRA INC		
2966	12590610		CSS INDS INC		
2967	125906107	Consumer: Greeting Cards	CSS INDS INC	Consumer Services	NYSE:CSS
2968	12646R105	Automotive Aftermarket	CST BRANDS INC	Consumer Durables	NYSE:CST
2969	126402106		CSW INDUSTRIALS INC		
2970	126408103	Railroads	CSX CORP	Transportation	NYSE:CSX
2971	12648L106	Major Pharmaceuticals	CTI BIOPHARMA CORP	Health Care	NASDAQ:CTIC
2972	125961300	Specialty Chemicals	CTI INDUSTRIES CORP	Basic Industries	NASDAQ:CTIB
2973	22943FAD2		CTRIP COM INTL LTD		
2974	22943F10		CTRIP COM INTL LTD		
2975	22943F100	Business Services	CTRIP COM INTL LTD	Miscellaneous	NASDAQ:CTRP
2976	22943FAH3		CTRIP COM INTL LTD		
2977	22943FAF7		CTRIP COM INTL LTD		
2978	126501105		CTS CORP		
2979	126534106	Major Banks	CU BANCORP CALIF	Finance	NASDAQ:CUNB
2980	229663109	Real Estate Investment Trusts	CUBESMART	Consumer Services	NYSE:CUBE
2981	22966310		CUBESMART		
2982	229663208		CUBESMART 7.75% RED PFD SH		
2983	229669106	Industrial Machinery/Components	CUBIC CORP	Capital Goods	NYSE:CUB
2984	126576206	Electronic Components	CUI GLOBAL INC	Consumer Non-Durables	NASDAQ:CUI
2985	22989910		CULLEN FROST BANKERS		
2986	229899109	Major Banks	CULLEN FROST BANKERS INC	Finance	NYSE:CFR
2987	230215105	Textiles	CULP INC	Basic Industries	NYSE:CFI
2988	2298991A7		CULTIVATION CAPITAL TECH FUN		
2989	230770109	Major Pharmaceuticals	CUMBERLAND PHARMACEUTICALS I	Health Care	NASDAQ:CPIX
2990	231021106	Industrial Machinery/Components	CUMMINS INC	Energy	NYSE:CMI
2991	231082108	Broadcasting	CUMULUS MEDIA INC	Consumer Services	NASDAQ:CMLS
2992	23127Q102		CURAEGIS TECHNOLOGIES		
2993	231269101	Biotechnology: Biological Products (No Diagnostic Substances)	CURIS INC	Health Care	NASDAQ:CRIS
2994	23129U101		CURRENCYSHARES AUSTRALIAN DL		
2995	23129X105		CURRENCYSHARES CDN DLR TR		
2996	23131C107		CURRENCYSHARES CHINESE RENMI		
2997	23130C108		CURRENCYSHARES EURO TR		
2998	23130K100		CURRENCYSHARES SINGAPORE DLR		
2999	23129R108		CURRENCYSHARES SWEDISH KRONA		
3000	23129V109		CURRENCYSHARES SWISS FRANC T		
3001	23129S106		CURRENCYSHS BRIT POUND STER		
3002	23130A102		CURRENCYSHS JAPANESE YEN TR		
3003	231561101	Industrial Machinery/Components	CURTISS WRIGHT CORP	Technology	NYSE:CW
3004	23162T102	n/a	CUSHING ENERGY INCOME	n/a	NYSE:SRF
3005	231631201		CUSHING MLP TOTAL RETURN FD		
3006	231647108	n/a	CUSHING RENAISSANCE FD	n/a	NYSE:SZC
3007	23204G308	Major Banks	CUSTOMERS BANCORP 6.375% MATUR	Finance	NYSE:CUBS
3008	23204G100	Major Banks	CUSTOMERS BANCORP INC	Finance	NYSE:CUBI
3009	232109108	Biotechnology: Electromedical & Electrotherapeutic Apparatus	CUTERA INC	Health Care	NASDAQ:CUTR
3010	232229104	n/a	CUTWATER SELECT INCOME FD	n/a	NYSE:CSI
3011	126600105	Major Banks	CVB FINL CORP	Finance	NASDAQ:CVBF
3012	126601103	Industrial Machinery/Components	CVD EQUIPMENT CORP	Technology	NASDAQ:CVV
3013	23247G109	Computer Software: Prepackaged Software	CVENT INC	Technology	NYSE:CVT
3014	12662P108	Integrated oil Companies	CVR ENERGY INC	Energy	NYSE:CVI
3015	126633106	Agricultural Chemicals	CVR PARTNERS LP	Basic Industries	NYSE:UAN
3016	12663P107	Integrated oil Companies	CVR REFNG LP	Energy	NYSE:CVRR
3017	585745102		CVS CORPORATION		
3018	12665010		CVS HEALTH CORP		
3019	126650100	Medical/Nursing Services	CVS HEALTH CORP	Health Care	NYSE:CVS
3020	232437301	Specialty Chemicals	CYANOTECH CORP	Consumer Durables	NASDAQ:CYAN
3021	M2682V108	Computer Software: Prepackaged Software	CYBERARK SOFTWARE LTD	Technology	NASDAQ:CYBR
3022	232517102	Electronic Components	CYBEROPTICS CORP	Capital Goods	NASDAQ:CYBE
3023	23254L405		CYCLACEL PHARMACEUTICALS INC		
3024	23254L207	Major Pharmaceuticals	CYCLACEL PHARMACEUTICALS INC	Health Care	NASDAQ:CYCCP
3025	23257D103	Major Pharmaceuticals	CYMABAY THERAPEUTICS INC	Health Care	NASDAQ:CBAY
3026	23257Y859	Major Pharmaceuticals	CYNAPSUS THERAPEUTICS INC	Health Care	NASDAQ:CYNA
3027	23257720		CYNOSURE INC		
3028	232577205	Biotechnology: Electromedical & Electrotherapeutic Apparatus	CYNOSURE INC	Health Care	NASDAQ:CYNO
3029	232751107	Oilfield Services/Equipment	CYPRESS ENERGY PARTNERS LP	Energy	NYSE:CELP
3030	232806109	Semiconductors	CYPRESS SEMICONDUCTOR CORP	Technology	NASDAQ:CY
3031	232806AL3		CYPRESS SEMICONDUCTOR CORPORATION		
3032	23282C401		CYRELA BRAZIL REALTY - COM		
3033	M26895108		CYREN LTD		
3034	23283R10		CYRUSONE INC		
3035	23283R100	Real Estate Investment Trusts	CYRUSONE INC	Consumer Services	NASDAQ:CONE
3036	12673A306		CYS INVESTMENTS INC		
3037	12673A207		CYS INVESTMENTS INC		
3038	12673A108	Real Estate Investment Trusts	CYS INVTS INC	Consumer Services	NYSE:CYS
3039	12673A10		CYS INVTS INC		
3040	23282W605		CYTOKINETICS INC		
3041	23284F105		CYTOMX THERAPEUTICS INC		
3042	23283K204		CYTORI THERAPEUTICS INC		
3043	23283X206	Medical/Dental Instruments	CYTOSORBENTS CORP	Health Care	NASDAQ:CTSO
3044	232828509	Biotechnology: Biological Products (No Diagnostic Substances)	CYTRX CORP	Health Care	NASDAQ:CYTR
3045	23331A109	Homebuilding	D R HORTON INC	Capital Goods	NYSE:DHI
3046	233806306		DAI NIPPON PRINT-SPON ADR		
3047	23381D102		DAIICHI SANKYO CO - SPONS ADR		
3048	23381B106		DAIKIN INDS LTD		
3049	6250724		DAIKIN INDUSTRIES		
3050	J10038115		DAIKIN INDUSTRIES LTD SHS		
3051	233912104	Newspapers/Magazines	DAILY JOURNAL CORP	Consumer Services	NASDAQ:DJCO
3052	D1668R123		DAIMLER AG		
3053	009022180		DAIMLER AG REG SHS		
3054	233825108		DAIMLER AG SPONSORED ADR		
3055	23405X209		DAITO TR CONSTR CO LTD ADR		
3056	6251363		DAIWA HOUSE INDS NPV		
3057	234062206		DAIWA HOUSE INDUS-UNSP ADR		
3058	234064301		DAIWA SECURITIES GR-SPON ADR		
3059	234255107		DAKOTA PLAINS HLDGS INC		
3060	23426410		DAKTRONICS INC		
3061	234264109	Miscellaneous manufacturing industries	DAKTRONICS INC	Consumer Durables	NASDAQ:DAKT
3062	23437P208		DALECO RESOURCES CORP		
3063	235822AA1		DANA FINANCING LUX SARL		
3064	235825205	Auto Parts:O.E.M.	DANA HLDG CORP	Capital Goods	NYSE:DAN
3065	2250870		DANAHER CORP COM USD0.01		
3066	235851102	Industrial Machinery/Components	DANAHER CORP DEL	Capital Goods	NYSE:DHR
3067	235851AF9		DANAHER CORP DEL		
3068	Y1968P105	Marine Transportation	DANAOS CORPORATION	Transportation	NYSE:DAC
3069	23636T100		DANONE ADR		
3070	236363206		DANSKE BANK A/S		
3071	23703Q203	Semiconductors	DAQO NEW ENERGY CORP	Technology	NYSE:DQ
3072	237194105	Restaurants	DARDEN RESTAURANTS INC	Consumer Services	NYSE:DRI
3073	237266101	Packaged Foods	DARLING INGREDIENTS INC	Consumer Non-Durables	NYSE:DAR
3074	237545108		DASSAULT SYS S A SPONSORED ADR		
3075	237690102	Electrical Products	DATA I O CORP	Capital Goods	NASDAQ:DAIO
3076	237934104	EDP Services	DATALINK CORP	Technology	NASDAQ:DTLK
3077	23793410		DATALINK CORP		
3078	23808Q207		DATANG INTL POWER GEN CO ADR		
3079	237917208	Computer Software: Prepackaged Software	DATAWATCH CORP	Technology	NASDAQ:DWCH
3080	238337109	Restaurants	DAVE & BUSTERS ENTMT INC	Consumer Services	NASDAQ:PLAY
3081	23857W105		DAVIDE CAMPARI-MI-UNSPON ADR		
3082	T24091117		DAVIDE CAMPARI-MILANO		
3083	238661102	Food Chains	DAVIDSTEA INC	Consumer Non-Durables	NASDAQ:DTEA
3084	23918K108	Hospital/Nursing Management	DAVITA HEALTHCARE PARTNERS I	Health Care	NYSE:DVA
3085	23918KAQ1		DAVITA HEALTHCARE PARTNERS INC		
3086	23918KAP3		DAVITA HEALTHCAREPARTNERS INC SR NT 5.750% 08/15/22 B/EDTD 08/28/12 CLB		
3087	239359102		DAWSON GEOPHYSICAL CO		
3088	239360100	Oil & Gas Production	DAWSON GEOPHYSICAL CO NEW	Energy	NASDAQ:DWSN
3089	239467103		DAXOR CORP		
3090	25150L108	Major Banks	DB CAP TRUST III 7.6% PFD	Finance	NYSE:DKT
3091	23304Y10		DBS GROUP HLDGS LTD ADR		
3092	23304Y100		DBS GROUP HOLDINGS-SPON ADR		
3093	23306J101	Biotechnology: Biological Products (No Diagnostic Substances)	DBV TECHNOLOGIES S A	Health Care	NASDAQ:DBVT
3094	233051853		DBX ETF TR		
3095	233051101		DBX ETF TR		
3096	233051630		DBX ETF TR		
3097	233051614		DBX ETF TR		
3098	233051861		DBX ETF TR		
3099	233051671		DBX ETF TR		
3100	233051499		DBX ETF TR		
3101	233051309		DBX ETF TR		
3102	233051655		DBX ETF TR		
3103	233051820		DBX ETF TR		
3104	233051796		DBX ETF TR		
3105	233051572		DBX ETF TR		
3106	233051713		DBX ETF TR		
3107	233051697		DBX ETF TR		
3108	233051739		DBX ETF TR		
3109	233051598		DBX ETF TR		
3110	233051689		DBX ETF TR		
3111	233051408		DBX ETF TR		
3112	233051812		DBX ETF TR		
3113	233051481		DBX ETF TR		
3114	233051663		DBX ETF TR		
3115	233051754		DBX ETF TR		
3116	233051507		DBX ETF TR		
3117	233051747		DBX ETF TR		
3118	233051846		DBX ETF TR		
3119	233051705		DBX ETF TR		
3120	233051580		DBX ETF TR		
3121	233051200		DBX ETF TR		
3122	233051879		DBX ETF TR		
3123	233066109		DCA TOTAL RETURN FD		
3124	233075100		DCB FINANCIAL CORP		
3125	23311P100	Natural Gas Distribution	DCP MIDSTREAM PARTNERS LP	Public Utilities	NYSE:DPM
3126	233153204		DCT INDUSTRIAL TRUST INC		
3127	23317H102		DDR CORP		
3128	23317H607		DDR CORP DEPSHS1/20 CLJ		
3129	24237020		DEAN FOODS CO NEW		
3130	242370203	Specialty Foods	DEAN FOODS CO NEW	Consumer Non-Durables	NYSE:DF
3131	242370104		DEAN FOODS CO NEW		
3132	24242R108		DEARBORN BANCORP INC		
3133	242737203		DEBENHAMS PLC		
3134	B126KH9		DEBENHAMS PLC ORD		
3135	243537107	Shoe Manufacturing	DECKERS OUTDOOR CORP	Consumer Non-Durables	NYSE:DECK
3136	24372A107		DEEP DOWN INC		
3137	244199105	Industrial Machinery/Components	DEERE & CO	Capital Goods	NYSE:DE
3138	G27010100	Medical/Dental Instruments	DEHAIER MEDICAL SYSTEMS LIMI	Health Care	NASDAQ:DHRM
3139	245077102	Restaurants	DEL FRISCOS RESTAURANT GROUP	Consumer Services	NASDAQ:DFRG
3140	24507710		DEL FRISCOS RESTAURANT GROUP		
3141	245496104	Restaurants	DEL TACO RESTAURANTS INC	Consumer Services	NASDAQ:TACO
3142	245496112		DEL TACO RESTAURANTS INC		
3143	246060107	n/a	DELAWARE ENHANCED GBL DIV &	n/a	NYSE:DEX
3144	246101109		DELAWARE INV CO MUN INC FD I		
3145	24610V103		DELAWARE INV MN MUN INC FD I		
3146	24610T108		DELAWARE INVT NAT MUNI INC F		
3147	245915103	n/a	DELAWARE INVTS DIV & INCOME	n/a	NYSE:DDF
3148	246493878		DELAWARE VIP EMERGING MARKETS		
3149	24664T103	Natural Gas Distribution	DELEK LOGISTICS PARTNERS LP	Energy	NYSE:DKL
3150	246647101	Integrated oil Companies	DELEK US HLDGS INC	Energy	NYSE:DK
3151	29759W101	Food Chains	DELHAIZE GROUP	Consumer Services	NYSE:DEG
3152	00B783TY6		DELPHI AUTOMOTIVE		
3153	G27823106	Auto Parts:O.E.M.	DELPHI AUTOMOTIVE PLC	Capital Goods	NYSE:DLPH
3154	JE00B783T		DELPHI AUTOMOTIVE PLC		
3155	B783TY6		DELPHI AUTOMOTIVE PLC		
3156	247131303		DELPHI FINANCIAL GROUP - CALLABLE		
3157	247361108		DELTA AIR LINES INC		
3158	247361702	Air Freight/Delivery Services	DELTA AIR LINES INC DEL	Transportation	NYSE:DAL
3159	24736170		DELTA AIR LINES INC DEL		
3160	247368103		DELTA APPAREL INC		
3161	247748106	Oil & Gas Production	DELTA NAT GAS INC	Public Utilities	NASDAQ:DGAS
3162	G8477B113		DELTA TECHNOLOGY HLDGS LTD		
3163	G8477B105	Major Chemicals	DELTA TECHNOLOGY HLDGS LTD	Basic Industries	NASDAQ:DELT
3164	247850100	Forest Products	DELTIC TIMBER CORP	Basic Industries	NYSE:DEL
3165	248019101	Publishing	DELUXE CORP	Consumer Durables	NYSE:DLX
3166	24802N208	EDP Services	DEMAND MEDIA INC	Technology	NYSE:DMD
3167	24791620		DENBURY RES INC		
3168	247916208	Oil & Gas Production	DENBURY RES INC	Energy	NYSE:DNR
3169	248356107		DENISON MINES CORP		
3170	24869P10		DENNYS CORP		
3171	24869P104	Restaurants	DENNYS CORP	Consumer Services	NASDAQ:DENN
3172	24872B100		DENSO CORP ADR		
3173	249030107	Medical/Dental Instruments	DENTSPLY INTL INC NEW	Health Care	NASDAQ:XRAY
3174	24906P109		DENTSPLY SIRONA INC		
3175	249908104	Major Pharmaceuticals	DEPOMED INC	Health Care	NASDAQ:DEPO
3176	249908AA2		DEPOMED INC		
3177	249827502	Medical/Dental Instruments	DERMA SCIENCES INC	Health Care	NASDAQ:DSCI
3178	24983L104	Major Pharmaceuticals	DERMIRA INC	Health Care	NASDAQ:DERM
3179	249906108	Computer Software: Prepackaged Software	DESCARTES SYS GROUP INC	Technology	NASDAQ:DSGX
3180	24990610		DESCARTES SYS GROUP INC		
3181	25065D100	Clothing/Shoe/Accessory Stores	DESTINATION MATERNITY CORP	Consumer Services	NASDAQ:DEST
3182	25065K104	Clothing/Shoe/Accessory Stores	DESTINATION XL GROUP INC	Consumer Services	NASDAQ:DXLG
3183	250639101	Plastic Products	DESWELL INDS INC	Consumer Non-Durables	NASDAQ:DSWL
3184	250660107		DETERMINE INC		
3185	250669108		DETOUR GOLD CORPORATION		
3186	250685104		DETREX CORP COM		
3187	009992499		DEUTSCHE BANK AG		
3188	D18190898		DEUTSCHE BANK AG		
3189	25153X208	Major Banks	DEUTSCHE BANK CONTINGENT CAP PFD	Finance	NYSE:DXB
3190	25154H475		DEUTSCHE BK AG LDN BRH		
3191	25154H731		DEUTSCHE BK AG LDN BRH		
3192	25154H483		DEUTSCHE BK AG LDN BRH		
3193	25154H756		DEUTSCHE BK AG LDN BRH		
3194	25154H533		DEUTSCHE BK AG LDN BRH		
3195	25154H749		DEUTSCHE BK AG LDN BRH		
3196	25154H558		DEUTSCHE BK AG LDN BRH		
3197	25154H566		DEUTSCHE BK AG LDN BRH		
3198	25153Q708		DEUTSCHE BK AG LONDON		
3199	25153Q658		DEUTSCHE BK AG LONDON		
3200	25154K866		DEUTSCHE BK AG LONDON BRH		
3201	25155L293		DEUTSCHE BK AG LONDON BRH		
3202	25154K858		DEUTSCHE BK AG LONDON BRH		
3203	25154K874		DEUTSCHE BK AG LONDON BRH		
3204	25154K809		DEUTSCHE BK AG LONDON BRH		
3205	25154A108	Major Banks	DEUTSCHE BNK 7.6% PRP CL 2/18	Finance	NYSE:DTK
3206	251542106		DEUTSCHE BOERSE AG-UNSPN ADR		
3207	25159L836		DEUTSCHE ENHANCED COMMODITY ST		
3208	25159R205		DEUTSCHE EQUITY 500 INDEX FUN		
3209	25156A403		DEUTSCHE GLOBAL / INTL FD INC		
3210	25158V108	n/a	DEUTSCHE GLOBAL HIGH INCOME	n/a	NYSE:LBF
3211	25158Y102	n/a	DEUTSCHE HIGH INCOME OPPORT	n/a	NYSE:DHG
3212	25155R100	Miscellaneous	DEUTSCHE HIGH INCOME TR	Consumer Services	NYSE:KHI
3213	5287488		DEUTSCHE LUFTHANSA		
3214	25160E102	n/a	DEUTSCHE MULTI-MKT INCOME TR	n/a	NYSE:KMM
3215	25160C106	n/a	DEUTSCHE MUN INCOME	n/a	NYSE:KTF
3216	D19225107		DEUTSCHE POST AG		
3217	25157Y202		DEUTSCHE POST AG-SPON ADR		
3218	25160F109	n/a	DEUTSCHE STRATEGIC INCOME TR	n/a	NYSE:KST
3219	25159F102	n/a	DEUTSCHE STRATEGIC MUN INCOM	n/a	NYSE:KSM
3220	251566105		DEUTSCHE TELEKOM AG		
3221	5842359		DEUTSCHE TELEKOM AG-REG		
3222	233051440		DEUTSCHE X-TRACKERS RUSSELL 20		
3223	251591103	Real Estate Investment Trusts	DEVELOPERS DIVERSIFIED RLTY	Consumer Services	NYSE:DDR
3224	25179M103	Oil & Gas Production	DEVON ENERGY CORP NEW	Energy	NYSE:DVN
3225	25189310		DEVRY ED GROUP INC		
3226	251893103	Other Consumer Services	DEVRY ED GROUP INC	Consumer Services	NYSE:DV
3227	252131107	Medical/Dental Instruments	DEXCOM INC	Health Care	NASDAQ:DXCM
3228	252366109		DEXTERA SURGICAL INC		
3229	B033YN61C		DEXUS PROPERTY GROUP		
3230	233203850		DFA ASIA PACIFIC SMALL CO PRTF INSTL		
3231	23320G463		DFA COMMODITY STRATEGY PORT INSTL		
3232	233203397		DFA CORE EQUITY 2 PT FD		
3233	233203587		DFA EMERGING MARKETS VALUE FUND		
3234	233203363		DFA EMERGING MKTS SOCIAL CORE		
3235	233203637		DFA ENHANCED US LRG CO PORT		
3236	23320G554		DFA GLOBAL REAL ESTATE FUND		
3237	233203355		DFA INFLATION PROTECTED SEC PORT		
3238	233203876		DFA INTERMEDIATE GOVT F/I PRTF INSTL		
3239	233203371		DFA INTERNATIONAL CORE EQ FD		
3240	25434D203		DFA INTERNATIONAL VALUE FUND #45		
3241	23320G539		DFA INTERNATIONAL VECTOR EQUITY PORT		
3242	233203868		DFA INTL LARGE CAP PORT FD		
3243	233203629		DFA INTL SMALL CO PORTFOLIO		
3244	25239Y626		DFA INTL SOCIAL CORE PORT FD		
3245	233203199		DFA INTL SUSTAINABILITY CORE 1		
3246	233203736		DFA INV DIMENSIONS GROUP INC I		
3247	233203819		DFA INV DIMENSIONS GROUP INC U		
3248	23320384P		DFA INV. DIMENSION GRP		
3249	233203827		DFA LARGE CAP VALUE PORTFOLIO		
3250	233203835		DFA REAL ESTATE SEC PORT FD		
3251	23320G521		DFA SHORT TERM EXTENDED QUALIT		
3252	233203405		DFA SHORT TERM GOVERNMENT PORT		
3253	233203298		DFA SOCIAL CORE EQUITY 2		
3254	23320G505		DFA TA WORLD EX US CORE EQ FD		
3255	233203579		DFA TAX MGD SMALL CAP VALUE FD		
3256	233203561		DFA TAX MGD US MKTWIDE VAL FD		
3257	233203413		DFA US CORE EQUITY		
3258	23320G281		DFA US L/C GROWTH PORT		
3259	23320G240		DFA US LARGE CAP EQUITY		
3260	25434D823		DFA US LARGE COMPANY INST FD		
3261	233203215		DFA US SUSTAINABILITY CORE 1		
3262	233203595		DFA US TARGETED VALUE PORT		
3263	23320G323		DFA WORLD EX US GOVT FIXED INCOME INSTL		
3264	23323G106		DGSE COMPANIES INC		
3265	23290R101		DH CORPORATION      PROP		
3266	23331S100		DHI GROUP INC		
3267	23331S10		DHI GROUP INC		
3268	Y2065G121	Marine Transportation	DHT HOLDINGS INC	Transportation	NYSE:DHT
3269	23335SAB2		DHT HOLDINGS INC		
3270	252406608	n/a	DHX MEDIA LTD	n/a	NASDAQ:DHXM
3271	25243Q20		DIAGEO P L C		
3272	25243Q205		DIAGEO P L C		
3273	0237400		DIAGEO PLC		
3274	G42089113	Beverages (Production/Distribution)	DIAGEO PLC	Consumer Non-Durables	NYSE:DEO
3275	25272KAW3		DIAMOND 1 FIN/DIAMOND 2		
3276	25264S692		DIAMOND HILL FDS		
3277	25264R207	Investment Managers	DIAMOND HILL INVESTMENT GROU	Finance	NASDAQ:DHIL
3278	25264S403		DIAMOND HILL LONG/SHORT -A		
3279	25271C10		DIAMOND OFFSHORE DRILLING IN		
3280	25271C102	Oil & Gas Production	DIAMOND OFFSHORE DRILLING IN	Energy	NYSE:DO
3281	25272T104	Hotels/Resorts	DIAMOND RESORTS INTL INC	Consumer Services	NYSE:DRII
3282	25278X109	Oil & Gas Production	DIAMONDBACK ENERGY INC	Energy	NASDAQ:FANG
3283	252784301	Real Estate Investment Trusts	DIAMONDROCK HOSPITALITY CO	Consumer Services	NYSE:DRH
3284	Y2069P101	Marine Transportation	DIANA CONTAINERSHIPS INC	Transportation	NASDAQ:DCIX
3285	Y2069P127		DIANA CONTAINERSHIPS INC		
3286	Y2066G104	Marine Transportation	DIANA SHIPPING INC	Transportation	NYSE:DSX
3287	253031108	Major Pharmaceuticals	DICERNA PHARMACEUTICALS INC	Health Care	NASDAQ:DRNA
3288	253393102	Other Specialty Stores	DICKS SPORTING GOODS INC	Consumer Services	NYSE:DKS
